,type,Hospital Name,CMS Certification Number,Beds,ADDRESS,CITY,STATE,ZIP,Telephone,rural ,mua,X,Y,size
297,Cancer Treatment Center,NOVANT HEALTH CANCER INSTITUTE UNIVERSITY,,,"8401 UNIVERSITY EXECUTIVE PARK DRIVE, SUITE 130",CHARLOTTE,NC,28262,9803027050,No,No,-78.7839103671,35.739720499,5
298,Cancer Treatment Center,NOVANT HEALTH CANCER INSTITUTE MATTHEWS,,,1700 MATTHEWS TOWNSHIP PARKWAY,MATTHEWS,NC,28105,7048418151,No,No,-78.7075300229,35.8197820074,5
299,Cancer Treatment Center,NOVANT HEALTH CANCER INSTITUTE ELIZABETH -,,,125 QUEENS ROAD SUITE 520,CHARLOTTE,NC,28204,9803026500,No,No,-78.6194836621,35.8289770809,5
300,Cancer Treatment Center,NOVANT HEALTH CANCER INSTITUTE -BRUNSWICK FOREST,,,1333 S DICKINSON DRIVE,LELAND,NC,28451,9105238175,No,No,-78.898400878,36.0384612512,5
301,Cancer Treatment Center,NOVANT HEALTH CANCER INSTITUTE BALLANTYNE,,,10905 PROVIDENCE ROAD WEST,CHARLOTTE,NC,28277,9803027120,No,No,-78.9361481084,36.008086659,5
302,Cancer Treatment Center,NOVANT HEALTH CANCER INSTITUTE - ROWAN,,,"631 MOCKSVILLE AVENUE, SUITE 1020",SALISBURY,NC,28144,7042107600,Yes,Yes,-77.9605518272,34.9646245804,5
303,Cancer Treatment Center,NOVANT HEALTH CANCER INSTITUTE - MOUNT AIRY,,,1908 CAUDLE DR,MOUNT AIRY,NC,27030,3367836935,Yes,Yes,-77.5569309024,35.9218589362,5
304,Cancer Treatment Center,NOVANT HEALTH CANCER INSTITUTE - KERNERSVILLE,,,"1710 KERNERSVILLE MEDICAL PARKWAY, SUITE 116",KERNERSVILLE,NC,27284,3365644170,No,Yes,-77.403511916,35.605574928,5
305,Cancer Treatment Center,NOVANT HEALTH CANCER INSTITUTE - ELIZABETH,,,"125 QUEENS ROAD, SUITE 610 & 640",CHARLOTTE,NC,28204,9803026600,Yes,Yes,-77.6480950125,36.4346384427,5
306,Cancer Treatment Center,NOVANT HEALTH CANCER INSTITUTE -,,,"1213 LEXINGTON AVENUE, SUITE B",THOMASVILLE,NC,27360,3364811950,Yes,Yes,-76.9944229894,36.2847698043,5
307,Cancer Treatment Center,NOVANT HEALTH CANCER INSTITUTE -,,,1010 BETHESDA COURT,WINSTON SALEM,NC,27103,3362778800,Yes,Yes,-79.4579294601,35.2067740751,5
308,Cancer Treatment Center,NOVANT HEALTH CANCER INSTITUTE,,,"8201 HEALTHCARE LOOP, SUITE 201",CHARLOTTE,NC,28215,9803022000,No,No,-80.2993164679,36.0752844187,5
309,Chemotherapy Only,Novant Health Brunswick Medical Center,340158.0,65,240 Hospital Drive Northeast,Bolivia,NC,28422,(910) 721-1000,No,No,-81.3377363707,35.7376740155,5
310,Chemo and Radiology,Nash General Hospital,340147.0,345,2460 Curtis Ellis Drive,Rocky Mount,NC,27804,(252) 962-8000,Yes,Yes,-78.9929768252,34.6586933288,5
311,Chemotherapy Only,Mission Hospital McDowell,340087.0,33,430 Rankin Drive,Marion,NC,28752,(828) 659-5000,Yes,No,-83.2023163807,35.3854374426,5
312,Chemo and Radiology,Mission Hospital,340002.0,799,509 Biltmore Avenue,Asheville,NC,28801,(828) 213-1111,No,Yes,-82.943768782,35.5258154196,5
313,Cancer Treatment Center,MISSION HEALTH CANCER CENTER LAB,,,"21 HOSPITAL DRIVE,  ROOM 306",ASHEVILLE,NC,28801,8282130950,No,No,-80.0125376135,35.9635924995,5
314,Cancer Treatment Center,"MCCREARY CANCER CENTER, A SERVICE OF",,,212 MULBERRY ST SW,LENOIR,NC,28645,8287575277,No,No,-82.6007539791,35.5241346385,5
315,Chemo and Radiology,Maria Parham Medical Center,340132.0,135,566 Ruin Creek Road,Henderson,NC,27536,(252) 438-4143,Yes,No,-80.8382259872,36.2625243591,5
316,Radiology Only,Lexington Medical Center,340096.0,70,250 Hospital Drive,Lexington,NC,27292,(336) 248-5161,Yes,No,-80.8768311892,35.799465238,5
317,Cancer Treatment Center,LEVINE CANCER INSTITUTE - UNION WEST,,,1100 HEALING WAY SUITE 31,INDIAN TRAIL,NC,28104,9804429385,Yes,No,-80.1927334444,35.3641642562,5
318,Cancer Treatment Center,LEVINE CANCER INSTITUTE - BALLANTYNE,,,"15830 BALLANTYNE MEDICAL PLACE, SUITE 200",CHARLOTTE,NC,28277,9804429662,No,No,-81.1322956724,35.2687864542,5
319,Cancer Treatment Center,LEVINE CANCER INSTITUTE - A FACILITY OF CAROLINAS,,,100 MEDICAL PARK DR. SUITE 110,CONCORD,NC,28025,7044032170,No,No,-80.87054099,35.0896336674,5
320,Cancer Treatment Center,LEVINE CANCER INSTITUTE - A FACILITY OF  CMC,,,1021 MOREHEAD MEDICAL DRIVE,CHARLOTTE,NC,28204,7043557769,No,No,-80.7263044961,35.278132865,5
321,Cancer Treatment Center,LEVINE CANCER INSTITUTE - A FACILITY OF,,,"447 MCALISTER ROAD, SUITE 1600",LINCOLNTON,NC,28092,9802125148,Yes,No,-81.200752352,35.4888180343,5
322,Cancer Treatment Center,LEVINE CANCER INSTITUTE - A FACILITY OF,,,201 EAST GROVER ST,SHELBY,NC,28150,9804422610,Yes,Yes,-81.5360795248,35.3016232724,5
323,Cancer Treatment Center,LEVINE CANCER INSTITUTE - A FACILITY OF,,,"16455 STATESVILLE ROAD, SUITE 280",HUNTERSVILLE,NC,28078,4129963213,No,No,-80.8654279452,35.4386328978,5
324,Cancer Treatment Center,LEVINE CANCER INSTITUTE - A FACILITY,,,101 EAST WT HARRIS BLVD,CHARLOTTE,NC,28262,7048636183,No,Yes,-80.8384662964,35.2065976361,5
325,Cancer Treatment Center,LEVINE CANCER INSTITUTE,,,945 N 5TH STREET,ALBEMARLE,NC,28002,7049838268,No,No,-80.6031051374,35.4373172323,5
326,Cancer Treatment Center,LEVINE CANCER INSTITUTE,,,2610 ABERDEEN BOULEVARD,GASTONIA,NC,28054,7048655210,No,No,-80.8541363482,35.0569351926,5
327,Cancer Treatment Center,LEVINE CANCER INSTITUTE,,,"10660 PARK ROAD, SUITE2100",CHARLOTTE,NC,28210,9804429353,No,Yes,-80.6767361335,35.0941269123,5
328,Radiology Only,Iredell Memorial Hospital,340039.0,203,557 Brookdale Drive,Statesville,NC,28677,(704) 873-5661,Yes,No,-80.2877999005,35.8054929161,5
329,Chemo and Radiology,Hugh Chatham Memorial Hospital,340097.0,81,180 Parkwood Drive,Elkin,NC,28621,(336) 527-7000,Yes,Yes,-78.4480977983,36.3302057545,5
330,Cancer Treatment Center,HOPE- A WOMEN'S CANCER CENTER MISSION LAB,,,100 RIDGEFIELD COURT,ASHEVILLE,NC,28806,8286708403,No,Yes,-81.537417528,35.912419388,5
331,Chemo and Radiology,High Point Medical Center,340004.0,304,601 North Elm Street,High Point,NC,27262,(336) 878-6000,No,Yes,-82.5520785072,35.5788386267,5
332,Chemotherapy Only,Haywood Regional Medical Center,340184.0,154,262 Leroy George Drive,Clyde,NC,28721,(828) 456-7311,No,No,-82.5486977503,35.5781605307,5
333,Chemo and Radiology,Harris Regional Hospital,340016.0,82,68 Hospital Road,Sylva,NC,28779,(828) 586-7000,Yes,Yes,-82.0280682398,35.663657829,5
334,Cancer Treatment Center,GIBSON CANCER CENTER,,,1200 PINE RUN DRIVE,LUMBERTON,NC,28358,9106715730,No,Yes,-77.8501117033,35.9745025942,5
335,Chemo and Radiology,Frye Regional Medical Center,340116.0,355,420 North Center Street,Hickory,NC,28601,(828) 315-5000,No,Yes,-78.2600112562,34.0322306479,5
336,Chemo and Radiology,Forsyth Medical Center & Novant Cancer Institute,340014.0,908,3333 Silas Creek Parkway,Winston-Salem,NC,27103,(336) 718-5000,No,No,-80.6471669584,35.2239889117,5
337,Chemo and Radiology,FirstHealth Moore Regional Hospital,340115.0,449,155 Memorial Drive,Pinehurst,NC,28374,(910) 715-1000,Yes,No,-80.1119281259,35.883363353,5
338,Chemotherapy Only,ECU Health Roanoke-Chowan Hospital,340099.0,80,500 South Academy Street,Ahoskie,NC,27910,(252) 209-3000,No,No,-80.2952904964,36.0760560814,5
339,Chemotherapy Only,ECU Health North Hospital,340151.0,114,250 Smith Church Road,Roanoke Rapids,NC,27870,(252) 535-8011,No,No,-80.826814948,35.2117000777,5
340,Chemo and Radiology,ECU Health Medical Center,340040.0,1140,2100 Stantonsburg Road,Greenville,NC,27835,(252) 847-4100,No,No,-80.0458915532,36.0926085553,5
341,Chemotherapy Only,ECU Health Edgecombe Hospital,340107.0,101,111 Hospital Drive,Tarboro,NC,27886,(252) 641-7700,Yes,No,-80.6195260401,36.4874340391,5
342,Chemotherapy Only,ECU Health Duplin Hospital,340120.0,49,401 North Main Street,Kenansville,NC,28349,(910) 296-0941,Yes,No,-80.4713875523,35.6826226812,5
343,Chemo and Radiology,Duke University Hospital,340030.0,1079,2301 Erwin Road,Durham,NC,27710,(919) 684-8111,No,No,-80.8442882837,35.0413510804,5
344,Chemo and Radiology,Duke Regional Hospital,340155.0,373,3643 North Roxboro Road,Durham,NC,27704,(919) 470-4000,No,Yes,-78.0467982645,34.1989408574,5
345,Chemo and Radiology,Duke Raleigh Hospital,340073.0,186,3400 Wake Forest Road,Raleigh,NC,27609,(919) 954-3000,No,No,-80.826814948,35.2117000777,5
346,Cancer Treatment Center,DUKE CANCER CENTER AT MACON POND,,,4101 MACON POND ROAD,RALEIGH,NC,27607,9199543117,No,No,-80.7100013088,35.1222566632,5
347,Cancer Treatment Center,DUKE CANCER CENTER AT CARY,,,216 ASHVILLE AVENUE,CARY,NC,27518,9199543345,No,No,-80.7536870338,35.3038297665,5
348,Cancer Treatment Center,DUKE BLOOD CANCER CENTER LABORATORY,,,2400 PRATT ST. ROOM 3450,DURHAM,NC,27705,9196681065,No,No,-80.860645818,35.4079068524,5
349,Chemo and Radiology,Cone Health Moses Cone Hospital,340091.0,859,1200 North Elm Street,Greensboro,NC,27401,(336) 832-7000,No,No,-77.9237051485,34.2047358231,5
350,Cancer Treatment Center,CONE HEALTH CANCER CENTER,,,2400 WEST FRIENDLY AVENUE,GREENSBORO,NC,27403,3368320763,No,Yes,-80.8254093867,35.2129977221,5
351,Chemo and Radiology,Cone Health Alamance Regional Medical Center,340070.0,220,1240 Huffman Mill Road,Burlington,NC,27215,(336) 538-7000,Yes,No,-80.471431222,35.681682064,5
352,Cancer Treatment Center,COMPREHENSIVE CANCER CENTER OF WFUHS AT MT AIRY,,,450 PRICE STREET,MOUNT AIRY,NC,27030,3367868880,Yes,No,-80.1110139955,35.8818647107,5
353,Chemotherapy Only,Columbus Regional Healthcare System,340068.0,154,500 Jefferson Street,Whiteville,NC,28472,(910) 642-8011,No,Yes,-77.3828011553,34.7633327985,5
354,Chemo and Radiology,Catawba Valley Medical Center,340143.0,258,810 Fairgrove Church Road Southeast,Hickory,NC,28602,(828) 326-3000,No,Yes,-82.4705500819,35.3188612849,5
355,Chemo and Radiology,Carteret Health Care,340142.0,99,3500 Arendell Street,Morehead City,NC,28557,(252) 499-6000,Yes,No,-79.814816229,35.7118816002,5
356,Chemo and Radiology,CaroMont Regional Medical Center - Gastonia,340032.0,424,2525 Court Drive,Gastonia,NC,28054,(704) 834-2000,No,No,-78.5414123528,35.9467817964,5
357,Chemo and Radiology,CAROLINAS MEDICAL CENTER & LEVINE CANCER INSTITUTE,340113.0,1336,1000 BLYTHE BOULEVARD,CHARLOTTE,NC,28203,7044469110,Yes,Yes,-81.9647699511,35.3632892274,5
358,Chemo and Radiology,CarolinaEast Medical Center,340131.0,326,2000 Neuse Boulevard,New Bern,NC,28560,(252) 633-8111,Yes,Yes,-79.4705122055,34.7517773391,5
359,Chemo and Radiology,Cape Fear Valley Medical Center,340028.0,733,1638 Owen Drive,Fayetteville,NC,28304,(910) 615-4000,Yes,No,-76.2166878518,36.3238450106,5
360,Chemotherapy Only,Cape Fear Valley Betsy Johnson Hospital,340071.0,74,800 Tilghman Drive,Dunn,NC,28334,(910) 892-1000,No,No,-78.7076264148,35.8128603156,5
361,Chemotherapy Only,Caldwell Memorial Hospital,340041.0,137,"321 Mulberry Street, Southwest",Lenoir,NC,28645,(828) 757-5100,No,No,-81.6549018033,35.7261081206,5
362,Cancer Treatment Center,"BLUEWATER DERMATOLOGY AND SKIN CANCER CENTER, PA",,,"144 POOLE ROAD, SUITE 101",LELAND,NC,28451,9106400899,Yes,Yes,-78.3344092678,35.5131775213,5
363,Chemo and Radiology,Atrium Health Wake Forest Baptist Medical Center,340047.0,883,Medical Center Boulevard,Winston-Salem,NC,27157,(336) 716-2011,Yes,Yes,-77.5820565957,35.2915597499,5
364,Radiology Only,Atrium Health University City,340166.0,104,8800 North Tryon Street,Charlotte,NC,28262,(704) 863-6000,No,Yes,-82.4681333278,35.3206468817,5
365,Chemo and Radiology,Atrium Health Union,340130.0,183,600 Hospital Drive,Monroe,NC,28112,(980) 993-3100,Yes,Yes,-79.0121785081,34.6365177886,5
366,Chemo and Radiology,Atrium Health Stanly & Levine Cancer Institute,340119.0,109,301 Yadkin Street,Albemarle,NC,28002,(704) 984-4000,No,Yes,-77.9529858185,35.4009088014,5
367,Radiology Only,Atrium Health Pineville,340098.0,381,10628 Park Road,Charlotte,NC,28210,(704) 667-1000,No,No,-79.0508387792,35.9041880657,5
368,Cancer Treatment Center,ATRIUM HEALTH LEVINE CHILDREN'S CANCER,,,"1001 BLYTHE BOULEVARD, SUITE 3000",CHARLOTTE,NC,28203,7043819900,No,No,-78.7673479779,35.7452427064,5
369,Chemo and Radiology,Atrium Health Cleveland,340021.0,308,201 East Grover Street,Shelby,NC,28150,(980) 487-3000,No,No,-78.7050848811,35.815518771,5
370,Radiology Only,Atrium Health Cabarrus,340001.0,457,920 Church Street North,Concord,NC,28025,(704) 403-3000,Yes,Yes,-77.5566942476,35.9222373552,5
371,Cancer Treatment Center,"AMERICAN ONCOLOGY PARTNERS, PA",,,1860 SUGAR HILL ROAD,MARION,NC,28752,8282127024,No,No,-78.5442414966,35.9632375259,5
372,Cancer Treatment Center,"AMERICAN ONCOLOGY PARTNERS, PA",,,186 MEDICAL PARK LOOP,SYLVA,NC,28779,8282127026,No,No,-78.7838591536,35.7397059564,5
373,Cancer Treatment Center,"AMERICAN ONCOLOGY PARTNERS, PA",,,11921 SOUTH 226 HIGHWAY,SPRUCE PINE,NC,28777,8282127025,No,Yes,-78.5889257577,35.7862346553,5
374,Cancer Treatment Center,"AMERICAN ONCOLOGY PARTNERS, PA",,,10 ONE CENTER COURT,FRANKLIN,NC,28734,8282127023,Yes,No,-81.6524136354,36.1983326851,5
375,Chemotherapy Only,AdventHealth Hendersonville,340023.0,98,100 Hospital Drive,Hendersonville,NC,28792,(828) 684-8501,Yes,Yes,-81.1574961996,36.1583275796,5
376,Cancer Treatment Center,ADVENTHEALTH CANCER & INFUSION SERVICES,,,56 HOSPITAL DRIVE,COLUMBUS,NC,28722,8288940111,Yes,Yes,-77.9455713546,35.7188705568,5
377,Chemotherapy Only,Aiken Regional Medical Centers,420082.0,273,302 University Parkway,Aiken,SC,29801,(803) 641-5000,No,No,-81.7646215026,33.5694638796,5
378,Cancer Treatment Center,ANDERSON AREA CANCER CENTER,,,2000 E GREENVILLE ST STE 5000,ANDERSON,SC,29621,8642245765,No,No,-82.6293815312,34.5448334303,5
379,Cancer Treatment Center,ANDERSON SKIN & CANCER CLINIC,,,200 CARWELLYN ROAD,ABBEVILLE,SC,29620,8642247577,Yes,No,-82.3885244422,34.1657150044,5
380,Cancer Treatment Center,ANDERSON SKIN & CANCER CLINIC PA,,,106 MUNICIPAL DRIVE,SENECA,SC,29672,8648827747,Yes,Yes,-82.9966185256,34.710477481,5
381,Chemo and Radiology,AnMed Medical Center,420027.0,394,800 North Fant Street,Anderson,SC,29621,(864) 512-1000,No,No,-82.647574955,34.5118122522,5
382,Cancer Treatment Center,"ASSOCIATED MEDICAL SPECIALISTS, PA",,,4620 HWY 17,MURRELLS INLET,SC,29576,8433577357,Yes,No,-79.0485927581,33.5495636236,5
383,Cancer Treatment Center,"ASSOCIATED MEDICAL SPECIALISTS, PA DBA",,,817 FARRAR DRIVE,CONWAY,SC,29526,8432341660,No,Yes,-79.0184714734,33.7759860949,5
384,Cancer Treatment Center,"ASSOCIATED MEDICAL SPECIALISTS, PA DBA",,,8121 ROURKE STREET,MYRTLE BEACH,SC,29572,8436925000,No,Yes,-78.8185976999,33.7558911525,5
385,Cancer Treatment Center,"ASSOCIATED MEDICAL SPECIALISTS, PA DBA COASTAL",,,4708 OLEANDER DRIVE,MYRTLE BEACH,SC,29577,8436925000,No,Yes,-78.8609210303,33.7327222311,5
386,Cancer Treatment Center,"ASSOCIATED MEDICAL SPECIALISTS,PA DBA",,,3008 BAYBORO STREET,LORIS,SC,29569,8437560932,No,Yes,-78.901273943,34.0584450001,5
387,Chemo and Radiology,Beaufort Memorial Hospital,420067.0,195,955 Ribaut Road,Beaufort,SC,29902,(843) 522-5200,Yes,No,-80.6885190777,32.4168343853,5
388,Chemo and Radiology,Bon Secours Saint Francis Hospital,420065.0,186,2095 Henry Tecklenburg Drive,Charleston,SC,29414,(843) 402-1000,No,No,-80.0416771323,32.8104636878,5
389,Cancer Treatment Center,CAROLINA BLOOD AND CANCER CARE ASSOCIATES,,,2403 CHARLOTTE HWY,LANCASTER,SC,29720,8033297772,Yes,Yes,-80.7887209107,34.7728218042,5
390,Cancer Treatment Center,CAROLINA BLOOD AND CANCER CARE ASSOCIATES,,,1583 HEALTH CARE DRIVE,ROCK HILL,SC,29732,8033297772,No,No,-81.0494574909,34.9514136533,5
391,Chemo and Radiology,CONWAY MEDICAL CENTER and CANCER CENTER,,,394 SINGLETON RIDGE ROAD,CONWAY,SC,29526,8433478050,No,Yes,-79.0046699992,33.7857558736,5
392,Cancer Treatment Center,"DERMATOLOGY & SKIN CANCER CENTER OF SC, PC",,,8683 OCEAN HIGHWAY,PAWLEYS ISLAND,SC,29585,3054916039,Yes,No,-79.154944615,33.4266217488,5
393,Cancer Treatment Center,"DERMATOLOGY AND SKIN CANCER CENTER OF SC, PC",,,"5046 HWY 17 BYPASS, STE 103",MYRTLE BEACH,SC,29588,3054916039,No,Yes,-78.9695127769,33.6671141412,5
394,Cancer Treatment Center,GIBBS CANCER CENTER AND RESEARCH INSTITUTE-PELHAM,,,2759 HWY 14 SOUTH,GREER,SC,29651,8648499700,No,No,-82.2213783125,34.8633989761,5
395,Radiology Only,Grand Strand Regional Medical Center,420085.0,382,809 82nd Parkway,Myrtle Beach,SC,29572,(843) 692-1000,No,Yes,-78.8164536929,33.7585562206,5
396,Chemotherapy Only,Hampton Regional Medical Center,420072.0,32,595 West Carolina Avenue,Varnville,SC,29944,(803) 943-2771,Yes,Yes,-81.0875516483,32.8551276647,5
397,Cancer Treatment Center,HILTON HEAD DERM AND SKIN CANCER CTR,,,15 HOSPITAL CENTER BOULEVARD SUITE 1,HILTON HEAD ISLAND,SC,29926,8436899200,Yes,Yes,-80.714307763,32.2208581549,5
398,Cancer Treatment Center,LEVINE CANCER INSTITUTE - ROCK HILL,,,"1656 RIVERCHASE BLVD, STE 1400",ROCK HILL,SC,29732,7046618910,No,No,-80.9915384562,34.9794188072,5
399,Chemo and Radiology,Lexington Medical Center,420073.0,541,2720 Sunset Blvd,West Columbia,SC,29169,(803) 791-2000,No,No,-81.1155662318,34.0046396358,5
400,Chemo and Radiology,McLeod Regional Medical Center,420051.0,547,555 East Cheve St,Florence,SC,29506,(843) 777-2000,No,No,-79.7592077496,34.1959399796,5
401,Chemo and Radiology,MUSC Health - Orangeburg,420068.0,286,3000 Saint Matthews Road,Orangeburg,SC,29118,(843) 792-1414,Yes,Yes,-80.8326636724,33.5412242839,5
402,Chemo and Radiology,MUSC Health Florence Medical Center,420091.0,216,805 Pamplico Highway,Florence,SC,29505,(843) 674-5000,No,No,-79.7538150846,34.1584167975,5
403,Cancer Treatment Center,MUSC HEALTH HF MABRY CANCER CENTER- PART OF MUSC,,,1161 COOK ROAD,ORANGEBURG,SC,29118,8035334600,Yes,Yes,-80.827506655,33.5397846506,5
404,Chemotherapy Only,MUSC Health Kershaw Medical Center,420048.0,119,1315 Roberts Street,Camden,SC,29020,(803) 432-4311,Yes,Yes,-80.5896852075,34.2533128496,5
405,Chemo and Radiology,MUSC Health University Medical Center,420004.0,922,171 Ashley Avenue,Charleston,SC,29425,(843) 792-1414,No,Yes,-79.9466683436,32.785579326,5
406,Chemotherapy Only,Newberry County Memorial Hospital,420053.0,48,2669 Kinard Street,Newberry,SC,29108,(803) 276-7570,Yes,Yes,-81.6048908427,34.2895167201,5
407,Chemotherapy Only,Piedmont Medical Center,420002.0,394,222 South Herlong Avenue,Rock Hill,SC,29732,(803) 329-1234,No,No,-81.0518452437,34.9552765791,5
408,Cancer Treatment Center,PRISMA HEALTH - UPSTATE,,,900 WEST FARIS ROAD,GREENVILLE,SC,29605,8646793966,No,No,-82.4116867419,34.8160558915,5
409,Cancer Treatment Center,PRISMA HEALTH - UPSTATE DBA,,,"340 MEDICAL PKWY, SUITE 100",GREER,SC,29650,8646794034,No,No,-82.2432657249,34.9191654124,5
410,Cancer Treatment Center,PRISMA HEALTH - UPSTATE DBA,,,131 LILA DOYLE DRIVE,SENECA,SC,29672,8648861978,Yes,Yes,-82.984978409,34.694236873,5
411,Cancer Treatment Center,PRISMA HEALTH - UPSTATE DBA PRISMA HEALTH,,,65 INTERNATIONAL DRIVE,GREENVILLE,SC,29615,8642690002,No,No,-82.3200590454,34.8481327644,5
412,Cancer Treatment Center,PRISMA HEALTH - UPSTATE DBA PRISMA HEALTH,,,3 BUTTERNUT DRIVE ,GREENVILLE,SC,29605,8642640002,No,No,-82.4193372402,34.8140810313,5
413,Chemo and Radiology,Prisma Health Greenville Memorial Hospital,420078.0,807,701 Grove Road,Greenville,SC,29605,(864) 455-7000,No,No,-82.4133071315,34.8177687753,5
414,Chemotherapy Only,Prisma Health Greer Memorial Hospital,420033.0,74,830 South Buncombe Road,Greer,SC,29650,(864) 797-8000,No,No,-82.2427242539,34.9207648052,5
415,Chemotherapy Only,Prisma Health Oconee Memorial Hospital,420009.0,141,298 Memorial Drive,Seneca,SC,29672,(864) 482-3100,Yes,Yes,-82.9864873192,34.6946507714,5
416,Chemotherapy Only,Prisma Health Richland Hospital,420018.0,601,5 Richland Medical Park Dr,Columbia,SC,29203,(803) 434-7000,No,No,-81.032708772,34.0289243143,5
417,Chemo and Radiology,Prisma Health Tuomey Hospital,420070.0,182, 129 North Washington Street,Sumter,SC,29150,(803) 774-9000,No,Yes,-80.3443033157,33.923815961,5
418,Radiology Only,Roper Hospital,420087.0,332,315 Calhoun Street,Charleston,SC,29401,(843) 724-2000,No,Yes,-79.9499295745,32.7820098506,5
419,Radiology Only,Roper St. Francis Berkeley Hospital,420110.0,46,100 Callem Blvd,Summerville,SC,29486,(854) 529-3100,No,No,-80.0963272248,33.0697907615,5
420,Chemo and Radiology,Saint Francis Downtown,420023.0,346,One Saint Frances Drive,Greenville,SC,29601,(864) 255-1000,No,No,-82.4209583003,34.8395815049,5
421,Chemo and Radiology,SELF REGIONAL Healthcare & CANCER CENTER,,,1325 SPRING STREET,GREENWOOD,SC,29646,8647257100,Yes,No,-82.1572219684,34.1747723632,5
422,Cancer Treatment Center,SIRI CANCER BLOOD AND INFUSION CENTER,,,3617 HIGHWAY 81 N,ANDERSON,SC,29621,8645408430,No,No,-82.6170665038,34.5958539912,5
423,Cancer Treatment Center,"SKIN CANCER CENTRE, PA",,,1409 NORTH FANT STREET,ANDERSON,SC,29621,8642318599,No,No,-82.6499747777,34.5172913766,5
424,Cancer Treatment Center,"SOUTH CAROLINA CANCER SPECIALISTS, PA",,,45 HOSPITAL CENTER COMMONS,HILTON HEAD ISLAND,SC,29926,8436892895,Yes,Yes,-80.7128828244,32.222911154,5
425,Cancer Treatment Center,SOUTH CAROLINA SKIN CANCER CENTER,,,300 ASHBY PARK LANE,GREENVILLE,SC,29607,8642881154,No,No,-82.2746979456,34.8140955739,5
426,Chemo and Radiology,Spartanburg Medical Center,420007.0,658,101 East Wood Drive,Spartanburg,SC,29303,(864) 560-6000,No,Yes,-81.9394544242,34.9678473384,5
427,Cancer Treatment Center,"ST FRANCIS HOSPITAL, INC CANCER CENTER",,,104 INNOVATION DRIVE,GREENVILLE,SC,29607,8643518962,No,No,-82.3170304123,34.8058167262,5
428,Chemotherapy Only,Tidelands Georgetown Memorial Hospital,420020.0,69,606 Black River Road,Georgetown,SC,29440,(843) 527-7000,Yes,No,-79.2854733948,33.3794230425,5
429,Chemo and Radiology,Trident Medical Center,420079.0,442,9330 Medical Plaza Drive,Charleston,SC,29406,(843) 797-7000,No,No,-80.0734648295,32.9768444658,5
430,Chemotherapy Only,Abbeville General Hospital,190034.0,60,118 North Hospital Drive,Abbeville,LA,70510,(337) 893-5466,YES,Yes,-92.1070183032,29.9735810235,5
431,Cancer Treatment Center,ARKLATEX UROLOGY & PROSTATE CANCER INSTITUTE,,,#2 MEDICAL PLAZA,MINDEN,LA,71055,3188414004,YES,Yes,-93.2856731458,32.6171576384,5
432,Chemo and Radiology,Baton Rouge General - Bluebonnet,190065.0,350,8585 Picardy Avenue,Baton Rouge,LA,70809,(225) 763-4000,No,No,-91.0941068787,30.3942005152,5
433,Chemotherapy Only,Beauregard Health System,190050.0,49,600 South Pine Street,DeRidder,LA,70634,(337) 462-7100,YES,Yes,-93.2890155135,30.8414120976,5
434,Cancer Treatment Center,"BENSON DERMATOLOGY AND SKIN CANCER, LLC",,,"190 GREENBRIAR BLVD, STE 103",COVINGTON,LA,70433,9858987999,No,No,-90.1362509793,30.457351031,5
435,Cancer Treatment Center,CHRISTUS CANCER TREATMENT CENTER-BOSSIER,,,2541 VIKING DR,BOSSIER CITY,LA,71112,3188482970,No,Yes,-93.7149597768,32.5552381308,5
436,Chemotherapy Only,CHRISTUS Ochsner Lake Area Hospital,190201.0,88,4200 Nelson Road,Lake Charles,LA,70605,(337) 474-6370,No,No,-93.2493671837,30.1811461571,5
437,Radiology Only,CHRISTUS Ochsner St. Patrick Hospital,190027.0,148,524 Dr. Michael DeBakey Dr,Lake Charles,LA,70601,(337) 436-2511,No,Yes,-93.2274906678,30.2155053384,5
438,Chemo and Radiology,CHRISTUS Saint Frances Cabrini Hospital,190019.0,293,3330 Masonic Drive,Alexandria,LA,71301,(318) 487-1122,No,Yes,-92.4614557123,31.2817643077,5
439,Chemo and Radiology,CHRISTUS Shreveport Bossier - Highland Medical Center,190041.0,214,1453 East Bert Kouns,Shreveport,LA,71105,(318) 681-4500,No,No,-93.7182883144,32.4259859987,5
440,Chemotherapy Only,Desoto Regional Health System,190118.0,34,207 Jefferson Street,Mansfield,LA,71052,(318) 872-4610,YES,Yes,-93.7091067777,32.0350930523,5
441,Chemo and Radiology,East Jefferson General Hospital,190146.0,335,4200 Houma Boulevard,Metairie,LA,70006,(504) 503-4000,No,No,-90.1811864461,30.0136138732,5
442,Chemotherapy Only,Iberia Medical Center,190054.0,159,2315 East Main Street,New Iberia,LA,70560,(337) 364-0441,YES,Yes,-91.785671139,29.9890293321,5
443,Chemo and Radiology,Lake Charles Memorial Hospital,190060.0,320,1701 Oak Park Boulevard,Lake Charles,LA,70601,(337) 494-3000,No,No,-93.1966706613,30.2034970467,5
444,Chemotherapy Only,Lane Regional Medical Center,190020.0,139,6300 Main Street,Zachary,LA,70791,(225) 658-4000,No,No,-91.1374265659,30.6500281443,5
445,Chemotherapy Only,Leonard J. Chabert Medical Center,190183.0,88,1978 Industrial Boulevard,Houma,LA,70363,(985) 873-2200,No,Yes,-90.6881806118,29.5713630363,5
